,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
53,75,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
54,76,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
55,77,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
56,78,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
57,79,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
58,80,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
59,81,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
60,82,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
61,83,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
62,84,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
63,85,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
64,86,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
65,87,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
66,90,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
67,91,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
68,92,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
69,93,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
