,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
31,46,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
32,47,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1}",0.0
33,48,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
34,49,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1}",0.0
35,50,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
36,51,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
37,52,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
38,53,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
39,55,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
40,56,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
41,57,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
42,58,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
43,61,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
44,62,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1}",0.0
45,63,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
46,64,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
47,65,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
48,66,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
49,67,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
50,70,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
