,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
36,49,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
37,50,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
38,51,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
39,52,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.01}",0.0
40,53,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
41,54,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
42,55,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
43,56,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
44,57,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
45,58,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
46,59,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
